,# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,References
GJ 273,GJ 273 b,Confirmed,0.00922,,,0.0069,0.003,0.003,,,,18.64,0.015,0.015,0.091,0.01,0.01,0.1,0.03,0.25,80,,,,2017,19/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.5,0.45,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten b,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,,
GJ 273,GJ 273 c,Confirmed,0.00374,,,0.0038,0.0013,0.0013,,,,4.72322,0.00081,0.00081,0.036,0.004,0.004,0.17,0.12,0.18,80,,,,2017,19/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.31,0.31,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten c,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,,
GJ 273,GJ 273 d,Confirmed,0.03448,,,0.034,0.011,0.0123,,,,413.9,5.5,4.3,0.712,0.076,0.062,0,0.17,0.17,80,,,,2019,19/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.61,0.61,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten d,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,,
GJ 273,GJ 273 e,Confirmed,0.0297,,,0.0293,0.0123,0.0135,,,,542,16,16,0.849,0.092,0.083,0,0.03,0.2,80,,,,2019,19/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.66,0.66,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten e,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,,
GJ 876,GJ 876 b,Confirmed,3.6,,,,,,,,,61.03474,0.0008,0.0008,0.214,0.001,0.001,0.002,0.00219,0.0014,101,0.4,0.4,0.044323,2000,25/07/2022,35.1,1.9,6.7,,,,,,,,,,,,,,,,,,,,,,212.07,0.26,0.27,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,,"Gaia Collaboration (Arenou, F., et al.) 2023, A&A 674, A34; Trifonov, T., et al. 2018, A&A 609, A117; Rosenthal, L. J. et al. 2021, ApJS 255 8"
GJ 876,GJ 876 d,Confirmed,0.021741,0.00085,0.00069,,,,,,,1.938,0.001,0.001,0.021,0.001,0.001,0.082,0.025,0.043,59,,,0.004427,2005,01/04/2021,272.8,29.5,21.8,,,,,,,,,,,,,,,,,,,,,,6.14,0.22,0.23,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,,"Trifonov, T., et al. 2018, A&A, 609, A117; Rivera, E. J. et al. 2010 ApJ 719 890; Correia, A. C. M. et al. 2010, A&A 511, A21"
GJ 876,GJ 876 e,Confirmed,0.04855,0.004,0.00406,,,,,,,124.4,0.7,0.3,0.345,0.002,0.001,0.04,0.004,0.021,59,,,0.071128,2010,01/04/2021,263.6,46,28.3,,,,,,,,,,,,,,,,,,,,,,3.39,0.28,0.29,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,,"Gaia Collaboration (Arenou, F., et al.) 2023, A&A, 674, A34"
GJ 9827,GJ 9827 b,Confirmed,0.01532,0.00116,0.00116,,,,0.13641,0.00517,0.00517,1.2089765,2.30E-06,2.30E-06,0.01866,0.0002,0.0002,0,,,85.8,1,1,,2017,09/09/2020,,,,,,,,,,2457738.826,0.00026,0.00026,,,,,,,0.57,0.013,0.013,,,,4.1,0.3,0.3,1043.5,36,36,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.1041667,-1.286388897,10.4,,,,,30.3,1.6,1.6,-0.28,0.12,0.12,0.659,0.06,0.06,0.651,0.065,0.065,K6V,,,,4255,110,110,,,,"Kosiarek M. R. et al. 2021, AJ 161 47; Teske, J. K. et al. 2018, AJ 155 148; Niraula, P. et al. 2017, AJ 154 266; Rodriguez, J. E. et al. +2018, AJ 155 72"
GJ 9827,GJ 9827 c,Confirmed,0.00604,0.00154,0.00154,,,,0.107,0.0041,0.0041,3.648086,0.0001,0.0001,0.03896,0.0004,0.0004,,,,87.8,0.57,0.57,,2017,09/09/2020,,,,,,,,,,2457742.199,0.00072,0.00072,,,,,,,0.53,0.14,0.14,,,,1.13,0.3,0.3,721.9,25,25,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.1041667,-1.286388897,10.4,,,,,30.3,1.6,1.6,-0.28,0.12,0.12,0.659,0.06,0.06,0.651,0.065,0.065,K6V,,,,4255,110,110,,,,"Kosiarek M. R. et al. 2021, AJ 161 47; Teske, J. K. et al. 2018, AJ 155 148; Niraula, P. et al. 2017, AJ 154 266; Rodriguez, J. E. et al. +2018, AJ 155 72"
GJ 9827,GJ 9827 d,Confirmed,0.01076,0.00195,0.00195,,,,0.17441,0.00669,0.00669,6.20183,1.00E-05,1.00E-05,0.0555,0.00057,0.00057,0,,,87.39,0.23,0.23,,2017,09/09/2020,,,,,,,,,,2457740.961,0.00045,0.00045,,,,,,,0.91,0.09,0.09,,,,1.7,0.3,0.3,604.9,20,20,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.1041667,-1.286388897,10.4,,,,,30.3,1.6,1.6,-0.28,0.12,0.12,0.659,0.06,0.06,0.651,0.065,0.065,K6V,,,,4255,110,110,,,,"Kosiarek M. R. et al. 2021, AJ 161 47; Teske, J. K. et al. 2018, AJ 155 148; Niraula, P. et al. 2017, AJ 154 266; Rodriguez, J. E. et al. +2018, AJ 155 72"
